BJD RV e_RV BERV rv4 e_rv4 rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv17 e_rv17 rv18 e_rv18 rv19 e_rv19 filename
2460799.8702591914 244.71536333215047 154.95064415435132 21.957158727691148 541.9377580134138 240.43229577943234 -491.87369802208735 235.08358271923115 1184.147145388766 125.46098894736856 -395.7925035832907 170.69274419247375 404.9108755867448 151.92930353593292 456.112882647511 145.85507164102376 -452.2924979495094 189.85562962117302 419.25021294789985 193.48657570568724 345.704684158587 204.30297138303655 113.57022259427485 138.78564541964943 566.1939148713456 149.85812590367152 ADP.2025-05-26T06-33-07.497.fits
2460596.537283731 -15.251310574625931 100.74258273597805 -25.257654439735546 577.657839167061 179.4603857683986 -37.96475605592098 198.1330066434741 -309.34120291832926 103.96419150267805 -532.947656508487 134.64432578619463 -342.13101325501736 117.95072824645786 349.34422422509664 130.53539110369198 -170.23066262272812 131.75639516473854 233.5207316008901 160.17403607541758 195.69932671982494 162.97179917214925 -197.15455852175367 126.57870502934627 65.78331184847843 130.11568113383618 ADP.2025-05-26T13-34-04.626.fits
2460609.530274893 170.22401055165625 105.57312070735824 -24.09978989313198 344.5152955846841 294.8050348941722 -75.96400395182579 219.54594309259542 299.83473440943465 128.76754720436716 -205.37650914392398 157.20290600543402 170.42316086042317 137.9982029769866 935.7938861194473 161.61207054610944 125.23507538659342 156.76851939033003 -297.3190068950816 176.18113759334392 -78.49236842397667 186.625683393494 154.44261322278527 133.3435173904532 499.37123889965864 119.70293361027827 ADP.2025-05-26T19-01-02.201.fits
2460584.5810624743 70.48991646489358 96.33755783115672 -25.279310008310183 -326.6565660947926 147.31643734605453 298.94638718238264 278.0061614685628 -257.12016681534567 165.57500587773444 384.8201033166291 242.36546269870382 390.3114408697941 211.79030236906047 8.147777279423822 170.8332993090433 -548.4975851671109 199.3718215415703 360.2115170368127 215.65874395174868 148.6038144968686 141.1440947971284 87.3575947977354 82.50231892485958 229.264764211432 168.2585222962126 ADP.2025-05-27T06-28-34.836.fits
2460574.600927066 -37.563060320280435 104.17348564408758 -24.435781812024597 40.21947076259691 141.0158927551426 71.90401230862237 218.3513585208409 -213.70453102111082 165.83433363696966 118.61918081819658 228.30790807433377 63.32471884941791 193.98816271904835 372.21103840442265 181.739964479203 -351.73856202008363 208.82776968539795 -901.6443822000205 212.63520728415133 223.74019185707525 215.19220657110012 83.46278292378447 160.74265910707115 80.41241579401398 156.51170060932134 ADP.2025-05-27T07-02-01.394.fits
2460574.6158835627 237.9582522887493 177.68955511713204 -24.455950241069857 -194.62655648791093 inf 41.93736831240614 222.45383361506077 1479.3737613707444 149.33080612811708 -666.8427922019061 211.85626653810505 37.55698756153275 176.65147294907845 636.7397050932163 191.08696236223196 -198.29641157956615 192.4595069836609 354.03160890858373 215.43153667688435 75.85366723031063 189.11346814225263 353.74416672571743 166.9911740496456 265.48446146645347 162.31593643448912 ADP.2025-05-27T07-02-01.397.fits
2460546.6642773873 196.55875854159774 89.19754487855215 -18.614858722479575 -3.639499234542324 201.08962084205137 661.8767342260934 204.27805096747832 692.9849459145958 118.12311378399122 70.04824135273888 166.52955666180483 426.9859319339657 146.21043650983538 124.38229102464129 131.52927376683027 -285.2887654016281 160.24759410622065 190.19356875330806 180.7788661707915 117.5164414668356 167.45211772549922 -46.49869831973354 125.72653048076226 213.58515224130022 144.68564548071942 ADP.2025-05-27T07-58-09.754.fits
2460480.683373451 337.400602534331 100.92275126819449 7.073389809766757 1000.0514024952878 316.15882101332056 409.3039752878411 186.66273325361178 190.9879190043915 90.84047705873353 40.825446769201534 131.2141740652918 244.89303559101347 120.02099776578252 135.47548400735812 122.93733995954229 146.536513705284 121.80560975079892 633.494843318837 150.1424828121834 nan nan -17.380542699738815 111.66317012677824 589.817947863834 132.88519551720444 ADP.2025-05-27T09-30-17.256.fits
2460798.9027939644 333.03384062235887 141.54862535964213 22.115564205075792 364.78661137869574 128.9357651738504 1189.5509174235342 248.96856692701147 491.5717314116774 129.26281188369734 -58.74373647213096 204.0151190437978 905.148431274366 161.67019605942363 267.21070115494206 156.1893183984999 -403.4313123113476 146.656076178028 438.5612874676654 203.83983024151152 224.02413063898868 225.5342546444597 -268.0900744066341 172.8521082767358 512.7835592861909 173.08777401117894 ADP.2025-07-08T10-16-33.203.fits
2460823.866632566 247.1792513774567 124.2998543298609 15.179850353352977 787.380945859037 196.84753035385148 -178.07915444926135 206.63079135212473 892.6864889344567 106.59596337989068 50.6785110873766 138.87730739268795 455.73018636145025 124.09765705489369 -32.72717974197675 116.33916273502797 nan nan 71.35601195154298 158.0765642619985 -239.30440143127535 197.32120050526242 160.62423251714972 127.81423980205284 503.4468726860669 142.89115219354815 ADP.2025-11-11T16-00-51.944.fits
2460892.698862494 269.0751426524095 154.21856990799768 -12.210834697547101 677.3333378816974 170.8266645868523 907.8388352097425 184.18791183805322 1075.1529879493653 90.87125543014514 -567.013592766661 126.58163892406552 169.2104745568712 113.88998307007503 36.6888485236441 122.92197416196764 -10.238294501487516 154.0505159733412 496.763801510514 132.69858320403017 149.0958564569704 172.9572121001241 -407.48898001029454 114.50913963477348 432.4832943661429 118.56281891631865 ADP.2025-11-12T08-11-58.267.fits
2460858.811777207 105.02577739163871 187.96494667864104 1.4998966439801358 415.7189078826507 inf -943.4692704351022 297.0424715636168 1030.521850815931 227.5248548841707 496.33694517952983 243.2094311437491 95.07214587140824 183.05612551936056 -275.4101728389421 322.9499728118242 -431.71961950699324 163.6965497023827 220.89836613950965 199.1656297721985 135.3090444960027 198.58909225117037 -134.66555439396427 218.1708175627298 857.3840385890076 168.24637533586952 ADP.2025-11-12T08-33-19.618.fits
2460858.7856488577 -1328.9456466108877 1187.9462709952024 1.5472414815965798 -253.5598170312774 226.86438035139278 -622.0005543266809 205.10718657948968 -57.06731097475403 356.4441019272946 321.1114044667305 421.5528184828344 -94.40771297328705 382.1412758039026 -8499.644684568486 inf -190.38717851763792 188.6369303465441 67.30625943169052 212.5213711940898 -188.7699078212957 inf -324.57003258737075 223.4474664311831 -10806.935876985403 264.0084267537022 ADP.2025-11-12T08-33-19.621.fits
2460825.909794447 -155.3712636231892 131.94884032064087 14.408043298795986 -694.7866551626445 220.17326546596487 -717.9262412597029 188.61714289063136 72.78392233434825 157.07536349240965 -284.89823188445524 438.5759721447511 -69.06184111183109 387.7596353531823 172.37608538871604 121.38707381280034 210.76422066515255 147.24288763193476 -105.60277012105927 inf 67.77863204490339 135.88782856912832 -394.57014896924284 inf 117.0045222024686 inf ADP.2025-11-12T08-39-08.365.fits
2460862.805574096 46.30442528565335 143.63205075985178 -0.18189924966863763 413.0248958565145 161.9327206130418 -718.0619312900109 183.06953489873945 492.08491929841836 102.62181819129756 -638.8651149754012 133.45829990684385 228.87525338721142 110.1139026939623 194.6617591168327 132.64000682366878 -313.23060355114563 144.63760724699716 626.3178647262345 151.25763715218022 32.78839411476667 177.0889818569824 -326.18993881437007 128.928584804048 517.9431802731365 137.992137215825 ADP.2025-11-12T10-02-34.843.fits
2460872.7277398705 210.34650232209796 117.26688302261284 -4.243991647032342 -384.65803787473243 298.75589286509285 134.8932503221413 167.99038039702384 934.8728617532321 97.80127423483884 654.4852549730557 118.26177715664377 217.0519560958146 112.65730603649045 401.82854904177714 116.88351347657006 -64.08207473045421 154.4998766383604 162.41433262826965 142.44624546099524 -229.32402170140352 164.0939081145106 -2.7651558710774107 115.18908088603185 489.09461090645436 135.73376859263448 ADP.2025-11-12T13-11-26.322.fits
2460768.868931108 74.34854444903571 91.04671146669698 25.419510913888796 438.6528082911311 334.4275913222256 10.23101347005719 169.80834320644388 553.7517281726865 90.76513105498371 -346.7858886297176 116.69891561042469 -52.78468094447348 104.77676100973409 75.09856586821147 103.30643523225723 -283.8902350734771 143.3392637253268 93.35064349906098 151.286873983865 -216.96300325003904 142.8954623726295 102.23651911776071 114.99267424878597 444.936518418192 122.30318544976328 ADP.2025-11-12T13-35-15.059.fits
