BJD RV e_RV BERV rv4 e_rv4 rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv17 e_rv17 rv18 e_rv18 rv19 e_rv19 filename
2460604.817957461 -3956.7849879890814 3649.1843451474692 13.94848309277447 -1645.2461758718555 9807.962044342437 3300.219244902236 inf -60.761200620154746 331.40220125617606 134.88657355741236 inf -4082.4491036735503 588.7522159716439 14714.766878750552 4338.462602748776 1637.5120421509948 2523.1629828509663 -23222.186928574054 7825.55239994058 -15944.977152704094 22113.970369759132 -8143.235741899106 4416.241035072506 1135.512490539533 815.9654230122732 night16B_o8.fits
2460666.7938651023 -902.0188190554622 303.1956220809549 0.6020164272295976 -1493.0460756213042 346.71874231625173 -1526.448628259486 227.67631168294685 1826.5791836194437 128.98045404464588 -782.1681319524267 143.07092835907494 -1255.3717674144677 112.56276159475387 -1117.511586990579 157.37141589293265 -932.063786372203 281.250035617972 -191.84053486765453 259.5272140189705 -1098.35442592007 191.78663029556816 -1680.0893159072125 115.03355818457175 -1671.891939924126 139.6575143804744 night17A_o8.fits
2460666.7938651023 -1045.9246206440937 259.36770570560526 0.6020164272295976 -1440.9999881499275 344.9018049781251 -1716.7987222466504 223.94982470082965 1235.7953299341953 124.87896070428032 -662.5448650403894 139.78839512384573 -1958.483564629008 114.43322141863194 -1057.372772567776 139.48382268962607 -926.7543772859076 174.88709028336643 -817.9311079123341 241.0752861340543 -1092.5711094081166 172.65891311254993 -1711.6370631859709 106.70820726671265 -1355.872586593147 130.11758827037357 night17B_o8.fits
2460674.738997031 -1047.4520881846802 245.5551102591786 -1.4906901258038627 -1702.2598272665182 372.79376754797937 -1856.374623029712 208.97182445611872 1100.881481930001 103.38938039686091 -836.4856383926762 134.23402467218432 -1259.5221074013004 114.83032550055783 -1225.5373937262448 162.34143512535272 -1421.3474414779098 234.40842711340778 -461.92482231722136 245.1880921687632 -1021.6031913657522 210.70923852779035 -1582.8946950800496 109.69717330459355 -1254.904711904099 144.24042201565916 night18A_o8.fits
2460674.738997031 -1025.069788565459 210.87329107421934 -1.4906901258038627 -1727.2385982922003 417.6095791264318 -1861.0592229904814 188.3925696188887 519.5049016556029 181.2079625612285 -528.0191898090862 113.6237411627463 -1380.4085924331469 95.83217921670584 -1027.5762534750777 124.16754415043778 -1431.1800482091403 197.03849324670563 -300.8178102022267 215.16929368921961 -846.7850854457188 165.11807845565264 -1427.0367559098129 94.76820502518206 -1265.1510191087611 121.59349217925694 night18B_o8.fits
2460696.6421393435 -974.5142871446005 323.4358723531503 -7.074307780526551 -1922.876057872229 223.6337436615236 -2485.422998509378 334.266878606072 1573.101115296766 154.17810477685182 -806.2864956971454 212.4601690792821 -1303.6998659105855 165.15641359514862 -878.1353182769207 225.32991924721475 -910.0975259469848 395.8672213927471 36.002356174430076 316.10496987641443 -931.8419779469347 211.81222035679303 -1616.5191396305927 184.911315735023 -1473.881250271032 182.66893172403704 night1A_o8.fits
2460696.6421393435 -917.9853237622283 329.159150407616 -7.074307780526551 -1072.7091971941509 345.0218949455805 -2665.625541691053 293.0221351223094 1564.4437879943807 153.61552199930455 -827.8748435797527 182.74200268555109 -1239.9030003675114 139.2711312115256 -1308.470889069949 193.75309845710404 -1143.7631709688226 279.6725995487757 416.84271917432136 269.1979324001471 -973.4174972454323 192.50967336570412 -1605.1917683662548 143.4361446826889 -1242.1691600702875 155.281073324184 night1B_o8.fits
2460624.830119106 -1728.0989027893113 313.41116974889553 10.813589485435413 -3222.1964451814824 392.5970997584741 -2361.0761894652833 196.5999551770852 864.234938341664 106.53710964406189 -1239.2482845449856 139.9879693347472 -2041.1516646364091 103.89854446167853 -1808.3926707965236 130.45313359335796 -2083.8820488263573 264.46309521836025 -1098.8614034063526 236.2601648726529 -1538.7063212109638 159.13286772224947 -2353.999192895645 94.52073116662653 -2125.808648060087 109.38626429161678 night2A_o8.fits
2460624.830119106 -1579.1188452914205 259.75725699095494 10.813589485435413 -2242.270047139924 498.06155972218784 -1945.6844702303117 234.23558012477264 709.9211204670605 122.60212528039521 -1379.106409408534 141.09234073260532 -2123.978351695782 120.04755989680379 -1776.7575748706722 130.83421138255588 -1783.7806051916027 241.27633487645636 -1022.7940229686423 258.13962006824903 -1364.240712775316 152.3278712407959 -2295.8188877299767 114.34370641916647 -2145.7973366619253 117.31663213059302 night2B_o8.fits
2460647.8319615815 -1244.8649453616943 297.1542078152846 5.598935975066189 -2153.5435594472838 263.687013439273 -1872.6602248065353 180.5104794319195 1425.0353918972514 99.43830766275144 -1092.3646993524153 117.50004498952885 -1661.4570509882913 91.03687532577848 -1496.5251792466397 122.45599600782785 -1215.943228982579 172.17821205375105 -700.412811045498 200.94559306758833 -1169.9187950905402 139.966929874373 -1893.457951211172 96.47816474154804 -1862.2662907049346 108.32660625197036 night3A_o8.fits
