BJD n order chunk rv e_rv norm0 e_norm0 norm1 e_norm1 norm2 e_norm2 wave0 e_wave0 wave1 e_wave1 wave2 e_wave2 ip0 e_ip0 atm0 e_atm0 atm1 e_atm1 atm2 e_atm2 atm3 e_atm3 bkg0 e_bkg0 prms
2460799.8702591914 1 4 0 541.9377580134138 240.43229577943234 1083.667194380639 712.0607970215859 -0.00018900607586218706 0.001485698227651419 -4.571342738404159e-05 2.987171310185641e-05 15247.899089454058 0.010692529816738447 0.04820348940615556 1.1295910998049088e-05 -5.364776126950267e-07 2.2944578581202356e-08 1.812456734301948 0.21853617160069252 4.4959886158040865 3.3504388859331176 nan 0 nan 0 8.132810445756292 5.9060164214077275 0.9826803829292488 1.3034968809956533 2.7412783517108887
2460799.8702591914 1 7 0 -491.87369802208735 235.08358271923115 1988.3068388237155 212.86664098930174 0.014466546374754698 0.0026248570192231326 -4.487967706522438e-05 7.0930989313457965e-06 15671.358898075465 0.0077955493756486855 0.04951609322821407 1.3181006802802633e-05 -5.670309557121923e-07 1.3422580167331017e-08 1.151330693224665 0.06861036631299997 1.8299643932770913 1.1625173039285144 nan 0 nan 0 1.4513453043005415 0.2057186921790799 0.14960137155924874 0.12324522758064627 2.539227636833569
2460799.8702591914 1 8 0 1184.147145388766 125.46098894736856 2202.573969268468 113.74954692853086 0.0014931218039667957 0.0026812288832411832 3.4540137343477214e-06 5.810623061145346e-06 15777.177648271629 0.0014247467329839972 0.04698141631378752 2.1327590683876174e-06 -5.830376233113555e-07 3.9089592963760985e-09 1.128909794370964 0.04226506240445773 -0.08123806307214304 1.5462153713760916 nan 0 nan 0 1.2747810459696878 0.0944444908715021 0.03184695036022374 0.05352407834526116 2.7139165991900938
2460799.8702591914 1 9 0 -395.7925035832907 170.69274419247375 2226.1698991775456 105.475761307526 -0.005456475832230634 0.0028273007180817248 -7.899838015590772e-06 5.538640413871163e-06 16004.48322920071 0.0018435613423709578 0.05326450018000126 7.802748191043564e-06 -5.349920876142e-07 1.0478609319632719e-08 1.1168263562128844 0.04202831310474432 2.7983739931726976 1.1265140303825543 nan 0 nan 0 1.3448478829666144 0.09317342198864716 0.07504856904737617 0.051292654894363285 2.7034808759161177
2460799.8702591914 1 10 0 404.9108755867448 151.92930353593292 2379.052390977566 119.77605246105549 -0.0455090197679149 0.003469030430798135 -5.624024278060747e-05 6.061882711233953e-06 16118.931198804192 0.0017215786020760469 0.05086142068047911 4.819002680862435e-06 -5.606367986811399e-07 6.875255009652387e-09 1.145408104702147 0.04237059758963257 1.4790222745184605 1.2142848662737993 -0.5391343859325641 4.659514466539863 nan 0 1.2399725807703597 0.08839766628093679 0.0012874464351644176 0.05066017272234534 2.46954494872525
2460799.8702591914 1 12 0 456.112882647511 145.85507164102376 2688.6846607971315 283.25894655799686 0.020733635565377252 0.003545297703671241 -5.201426088450241e-05 8.04587025774223e-06 16474.94937950938 0.003310378885364251 0.05479004084601154 3.998830508066936e-06 -5.337603349585302e-07 8.74348452225481e-09 1.2991519787819432 0.06835218261858293 1.0760354672229269 0.3931768948226677 1.1316673535387742 0.15892659336316908 nan 0 1.061346357825933 0.12109418862164747 -0.04832735029776474 0.10037650614028878 2.3710704580154647
2460799.8702591914 1 13 0 -452.2924979495094 189.85562962117302 3838.272780902191 2680.8127173419516 0.016338871207417813 0.01223651236298263 -9.098963765049181e-05 6.405272273168211e-05 16592.589189943053 0.008073247675677249 0.05231643692663954 9.604616562869485e-06 -6.642677719867193e-07 2.6401406851508123e-08 1.471621657915606 0.11536027748114151 1.0790116635043576 0.7766000720355607 0.7337994563398603 0.5669804692053424 nan 0 0.6914968618591817 0.5926379816977559 -0.32384895552887916 0.472329277569001 2.101437241280018
2460799.8702591914 1 14 0 419.25021294789985 193.48657570568724 3371.005076382047 715.3627128750283 0.02056631717006517 0.0062892357733386 -9.627219770666967e-05 2.2838945805554776e-05 16704.49605311348 0.010768339252933835 0.049687348898253 4.4293416521407455e-06 -5.966890810914419e-07 1.5837969951775148e-08 1.524598687183607 0.07898753295027361 1.0577752720121227 0.3699525525236605 0.9103052007779056 0.2240998318219385 nan 0 2.2769761023148654 1.7835147010664694 -0.2239518659008317 0.164735312544624 2.327863346682327
2460799.8702591914 1 17 0 345.704684158587 204.30297138303655 1610.8491828925646 258.43654258992217 0.0028700511035944457 0.0019230952480505225 1.2274599704968032e-05 4.13987260919139e-06 17210.026915996652 0.006243015787460147 0.05113114243555995 1.2749506003586768e-05 -5.992119043696478e-07 2.0175398662394162e-08 1.704708130955423 0.12282827826554314 2.976345789144173 0.6094665767577441 2.109513947382441 0.37985561234532134 nan 0 nan 0 0.5306030906587653 0.24578631266579215 2.466290288254123
2460799.8702591914 1 18 0 113.57022259427485 138.78564541964943 2290.721012619386 75.047662539638 -0.0019453647788259122 0.0027386026767115836 -9.765370144438463e-05 6.653474510190823e-06 17503.354912427985 0.0051401084527436655 0.05811054956636065 6.149792995099091e-06 -5.881347012374754e-07 1.5141482852389866e-08 1.7264898770501207 0.1271563563710902 1.8559309962771064 0.08850292724507101 0.3096579647419512 0.27955898587693706 nan 0 nan 0 0.035315445256510765 0.03402781479313784 2.6798484272620784
