asas_sn_id,jd,mag,mag_err,phot_filter,camera
609885843909,2459249.5482715,11.638612333272615,0.001443924607057221,g,bG
609885843909,2459310.5183286,11.711292683400972,0.0014077542601040926,g,bG
609885843909,2459287.6515271,11.644537905551678,0.001299547302098198,g,bk
609885843909,2458537.7005039,11.659171626725291,0.0016230186093376463,g,bG
609885843909,2458473.5295616,11.704790837423236,0.003168005782426122,g,bk
609885843909,2458981.2591996,11.673691160843006,0.000715834201005344,g,bn
609885843909,2458154.3523012,11.709434979341765,0.0008563845511148856,g,bn
609885843909,2458457.5979264,11.66849182827783,0.0009570184727101622,g,bk
609885843909,2459277.4349855,11.644219527602274,0.0013477342782318659,g,bn
609885843909,2458606.2907542,11.70378879639845,0.0007776358570039326,g,bn
609885843909,2459247.3611324,11.665700407366364,0.0008395762263975651,g,bn
609885843909,2458560.3442333,11.683952389779868,0.0014339744941710005,g,bn
609885843909,2459250.7520769,11.671347624826332,0.001162089421144789,g,bk
609885843909,2458549.6552216,11.723705826521332,0.001338183955908578,g,bG
609885843909,2458409.4410289,11.77286324227477,0.0018498081027286746,g,bo
609885843909,2458443.7797794,11.679863692423433,0.0012444855680918258,g,bk
609885843909,2459255.6064067,11.724238150611384,0.0014234310119513416,g,bG
609885843909,2458483.6905226,11.698787448129728,0.0007796759368253556,g,bk
609885843909,2458462.7875048,11.652071615721981,0.0011312838086341677,g,bG
609885843909,2458444.6094284,11.743500531323159,0.0017001727485605126,g,bk
609885843909,2458551.6577929,11.705530395013344,0.00117208317295296,g,bG
609885843909,2458810.7804657,11.747824821978146,0.0016111980611447478,g,bG
609885843909,2458532.583556,11.695919241417768,0.00195629966559928,g,bG
609885843909,2458492.5083455,11.720841207569626,0.0010716508162856649,g,bn
609885843909,2459280.6682728,11.593767919024469,0.0017610002139372151,g,bG
609885843909,2458224.2711279,11.659110798335757,0.0008828926659776821,g,bn
609885843909,2459202.3878534,11.861366953895924,0.0023239086912980158,g,bo
609885843909,2459222.3085693,11.63692773035727,0.0009335362010364555,g,bn
609885843909,2458184.3106648,11.707712003767721,0.000868701647426118,g,bo
609885843909,2458893.536341,11.711834454826114,0.0012757022937297852,g,bG
609885843909,2459214.3123319,11.677656020008234,0.0015427381639773767,g,bn
609885843909,2459181.8496371,11.698419146074503,0.0009509348634415421,g,bk
609885843909,2458834.6320708,11.73430714228485,0.0013215191401282915,g,bk
609885843909,2458760.580224,11.705310762970726,0.0008875577231115434,g,bn
609885843909,2459217.3977365,11.654942752192575,0.0009969116955976399,g,bn
609885843909,2458843.6601709,11.742792446258875,0.0013517803177852312,g,bk
609885843909,2458911.5180111,11.690364328438669,0.0009462478465961307,g,bk
609885843909,2458840.3167837,11.848240509143482,0.0023066496657145157,g,bo
609885843909,2458398.6098133,11.721051209587623,0.0010046179142183794,g,bn
609885843909,2459062.664694,11.827005028581086,0.002152444924174091,g,bo
609885843909,2458075.8332793,11.675444258294604,0.0007809652242520396,g,bk
609885843909,2458748.831547,11.739983951905712,0.0018586795529705845,g,bk
609885843909,2458129.635008,11.664622873506483,0.0009233266232348431,g,bk
609885843909,2458452.7267124,11.67184592075212,0.0009297095296118047,g,bG
609885843909,2459102.5646907,12.015464627592195,0.0037713487252606665,g,bo
609885843909,2458765.7387771,11.69661006074994,0.0017466384717111038,g,bG
609885843909,2458855.8077213,11.714889178146247,0.0015033490209767739,g,bG
609885843909,2459198.7760293,11.672980133290988,0.0009381285313514474,g,bG
609885843909,2458107.5387707,11.653028082833783,0.0009453625364234655,g,bn
609885843909,2458523.6289878,11.716977716216427,0.0012078470162033745,g,bG
609885843909,2458211.5474004,11.695191736674708,0.0008628984529754171,g,bk
609885843909,2458567.6084642,11.70556781214086,0.001389719377001242,g,bG
609885843909,2458227.5404431,11.684841646488266,0.0007076520340840779,g,bk
609885843909,2458586.5236448,11.701770760455332,0.0011373700647059764,g,bG
609885843909,2459219.4840863,11.673348777119445,0.0010025583882206453,g,bn
609885843909,2458195.3182101,11.690882599783158,0.0004966078547804962,g,bn
609885843909,2459314.556999,11.638865230572344,0.0013298503552912305,g,bk
609885843909,2458514.4749435,11.674748839822326,0.0007386728842829751,g,bn
609885843909,2458429.8220113,11.689293389396374,0.0007608921876532046,g,bG
609885843909,2458538.7001456,11.698239940536087,0.0014615445873340255,g,bG
609885843909,2458781.8443856,11.72665866566648,0.001318185701368781,g,bk
609885843909,2459222.7737781,11.69709191238774,0.0011789610578550663,g,bG
609885843909,2458619.485305,11.714307786860338,0.001934325691926275,g,bG
609885843909,2459192.5725157,11.670510532219991,0.0007823518706892669,g,bG
609885843909,2458247.4720772,11.697994638782394,0.0012487166415702747,g,bk
609885843909,2458801.7441921,11.66183908469965,0.0020102265736972593,g,bk
609885843909,2458986.2361745,11.918442081148935,0.002828555573688879,g,bo
609885843909,2458463.2890901,11.78376365276425,0.0017721705546002663,g,bo
609885843909,2459220.652838,11.636837363308967,0.001308453143392892,g,bk
609885843909,2458487.6909781,11.729908202648986,0.0011818823251390105,g,bk
609885843909,2459247.6971618,11.639411233144925,0.0014011546521002065,g,bk
609885843909,2459258.6191442,11.678337000948495,0.0008826570082295258,g,bk
609885843909,2459213.414543,11.61476445702893,0.0019045458255080203,g,bn
609885843909,2458087.5651133,11.61715474746001,0.0011695203697565395,g,bo
609885843909,2458861.8148079,11.667488145293126,0.002458994118354127,g,bG
609885843909,2459250.435681,11.68852279900289,0.0008655632882635621,g,bn
609885843909,2458622.4688824,11.679965432326052,0.002106219198727292,g,bG
609885843909,2459190.8147709,11.691926101517165,0.0012773147208300915,g,bG
609885843909,2459342.4953044,11.650475763653954,0.0012479701307504727,g,bk
609885843909,2458822.7168278,11.722227231750875,0.0014128032301581556,g,bG
609885843909,2458375.8080289,11.72123544399156,0.0010961443410151947,g,bk
609885843909,2458613.4851741,11.673952464186762,0.0009784105440643026,g,bk
609885843909,2458906.5776144,11.694583291396485,0.0007946360096868568,g,bG
609885843909,2459198.3082717,11.632250363200809,0.0010519443149066123,g,bn
609885843909,2458776.7479038,11.699123434924765,0.0011413425072615768,g,bk
609885843909,2458570.5265133,11.711674843533562,0.0009703251441252958,g,bk
609885843909,2459249.527451,11.607615414280069,0.001584716169698205,g,bn
609885843909,2458222.2838328,11.67609993746578,0.0006100771858545893,g,bn
609885843909,2458452.3892975,11.679892992467062,0.0006902997582172746,g,bn
609885843909,2458550.6612825,11.710950178375512,0.001017923844005065,g,bk
609885843909,2458467.2878986,11.778762754654885,0.002383715506033658,g,bo
609885843909,2458482.3301358,11.744828108638837,0.0014168425669625207,g,bo
