P_d,dbic,dbic_berv
6.9144,-5.511,-5.186
6.9248,-5.600,-5.482
6.9353,-5.114,-5.155
6.9458,-3.895,-4.329
6.9562,-2.340,-3.593
6.9667,-1.320,-3.445
6.9772,-1.094,-3.594
6.9878,-1.333,-3.615
6.9983,-1.808,-3.459
7.0089,-2.481,-3.315
7.0195,-3.359,-3.386
7.0300,-4.359,-3.769
7.0407,-5.223,-4.389
7.0513,-5.538,-5.008
7.0619,-5.005,-5.334
7.0726,-3.762,-5.204
7.0832,-2.284,-4.682
7.0939,-1.007,-3.967
7.1046,-0.154,-3.278
7.1154,0.209,-2.801
7.1261,0.060,-2.661
7.1368,-0.625,-2.894
7.1476,-1.801,-3.438
7.1584,-3.210,-4.141
7.1692,-4.432,-4.832
7.1800,-5.150,-5.374
7.1909,-5.310,-5.646
7.2017,-5.029,-5.512
7.2126,-4.484,-4.871
7.2235,-3.880,-3.794
7.2343,-3.417,-2.556
7.2453,-3.239,-1.512
7.2562,-3.421,-0.946
7.2671,-3.929,-0.989
7.2781,-4.581,-1.585
7.2891,-5.149,-2.552
7.3001,-5.489,-3.695
7.3111,-5.537,-4.786
7.3221,-5.272,-5.488
7.3332,-4.775,-5.495
7.3443,-4.270,-4.861
7.3553,-3.953,-3.977
7.3664,-3.858,-3.204
7.3775,-3.923,-2.703
7.3887,-4.069,-2.501
7.3998,-4.249,-2.589
7.4110,-4.451,-2.958
7.4222,-4.665,-3.566
7.4334,-4.839,-4.282
7.4446,-4.897,-4.873
7.4558,-4.807,-5.126
7.4671,-4.611,-5.017
7.4783,-4.365,-4.712
7.4896,-4.048,-4.404
7.5009,-3.550,-4.214
7.5122,-2.764,-4.177
7.5236,-1.797,-4.268
7.5349,-1.029,-4.430
7.5463,-0.749,-4.623
7.5577,-0.932,-4.796
7.5691,-1.409,-4.838
7.5805,-2.024,-4.588
7.5920,-2.631,-3.894
7.6034,-3.049,-2.723
7.6149,-3.068,-1.281
7.6264,-2.621,0.025
7.6379,-1.947,0.876
7.6494,-1.423,1.239
7.6609,-1.281,1.203
7.6725,-1.576,0.746
7.6841,-2.243,-0.372
7.6957,-2.958,-2.402
7.7073,-3.048,-4.644
7.7189,-2.397,-5.586
7.7306,-1.822,-5.304
7.7422,-1.780,-4.683
7.7539,-2.202,-4.030
7.7656,-2.805,-3.202
7.7773,-3.043,-1.911
7.7891,-2.210,-0.184
7.8008,-0.377,1.215
7.8126,1.321,1.535
7.8244,2.110,0.853
7.8362,1.985,-0.418
7.8480,1.124,-1.984
7.8599,-0.353,-3.587
7.8717,-2.207,-4.805
7.8836,-3.879,-5.243
7.8955,-4.907,-5.097
7.9074,-5.356,-4.866
7.9193,-5.458,-4.761
7.9313,-5.312,-4.758
7.9432,-4.908,-4.783
7.9552,-4.242,-4.795
7.9672,-3.385,-4.797
7.9793,-2.511,-4.827
7.9913,-1.812,-4.926
8.0034,-1.387,-5.093
8.0154,-1.223,-5.265
8.0275,-1.273,-5.333
8.0396,-1.544,-5.172
8.0518,-2.077,-4.760
8.0639,-2.837,-4.334
8.0761,-3.666,-4.199
8.0883,-4.381,-4.354
8.1005,-4.897,-4.626
8.1127,-5.228,-4.898
8.1249,-5.431,-5.123
8.1372,-5.555,-5.295
8.1495,-5.622,-5.422
8.1618,-5.623,-5.516
8.1741,-5.537,-5.589
8.1864,-5.353,-5.639
8.1988,-5.084,-5.653
8.2111,-4.784,-5.615
8.2235,-4.556,-5.508
8.2359,-4.479,-5.331
8.2484,-4.528,-5.071
8.2608,-4.636,-4.698
8.2733,-4.765,-4.184
8.2858,-4.898,-3.543
8.2983,-5.003,-2.898
8.3108,-5.036,-2.492
8.3233,-4.963,-2.529
8.3359,-4.789,-2.963
8.3485,-4.540,-3.564
8.3611,-4.252,-4.124
8.3737,-3.978,-4.535
8.3863,-3.805,-4.785
8.3990,-3.794,-4.923
8.4116,-3.902,-4.952
8.4243,-4.053,-4.771
8.4370,-4.244,-4.252
8.4498,-4.518,-3.308
8.4625,-4.886,-1.973
8.4753,-5.265,-0.500
8.4881,-5.523,0.677
8.5009,-5.579,1.205
8.5137,-5.424,1.048
8.5266,-5.077,0.409
8.5394,-4.575,-0.474
8.5523,-3.993,-1.439
8.5652,-3.430,-2.410
8.5781,-2.963,-3.361
8.5911,-2.622,-4.253
8.6041,-2.425,-4.991
8.6170,-2.406,-5.466
8.6300,-2.594,-5.636
8.6431,-2.964,-5.557
8.6561,-3.429,-5.334
8.6692,-3.905,-5.062
8.6822,-4.349,-4.794
8.6953,-4.751,-4.560
8.7085,-5.095,-4.385
8.7216,-5.352,-4.292
8.7348,-5.497,-4.278
8.7479,-5.543,-4.313
8.7611,-5.513,-4.349
8.7744,-5.428,-4.336
8.7876,-5.301,-4.221
8.8009,-5.139,-3.964
8.8141,-4.949,-3.553
8.8274,-4.738,-3.011
8.8408,-4.511,-2.386
8.8541,-4.263,-1.726
8.8675,-3.988,-1.073
8.8808,-3.673,-0.488
8.8942,-3.319,-0.088
8.9077,-2.961,-0.079
8.9211,-2.708,-0.720
8.9346,-2.745,-2.083
8.9480,-3.182,-3.757
8.9615,-3.851,-5.054
8.9751,-4.462,-5.615
8.9886,-4.868,-5.533
9.0022,-5.073,-5.035
9.0158,-5.133,-4.290
9.0294,-5.111,-3.379
9.0430,-5.059,-2.325
9.0566,-5.000,-1.116
9.0703,-4.895,0.271
9.0840,-4.666,1.837
9.0977,-4.260,3.504
9.1114,-3.681,4.981
9.1252,-3.016,5.673
9.1389,-2.477,4.939
9.1527,-2.317,2.848
