P_d,dbic,dbic_berv
6.9144,-4.810,-4.980
6.9248,-3.542,-3.518
6.9353,-1.642,-1.274
6.9458,-0.906,-0.623
6.9562,-1.331,-1.415
6.9667,-1.652,-1.873
6.9772,-2.526,-2.710
6.9878,-3.927,-4.010
6.9983,-4.648,-4.433
7.0089,-4.670,-4.051
7.0195,-4.888,-3.994
7.0300,-5.162,-3.583
7.0407,-5.400,-3.211
7.0513,-5.365,-4.108
7.0619,-4.211,-3.808
7.0726,-1.528,-1.194
7.0832,2.868,3.953
7.0939,8.870,13.231
7.1046,12.747,24.467
7.1154,11.914,22.729
7.1261,10.243,14.967
7.1368,6.754,7.505
7.1476,2.001,1.453
7.1584,0.101,-0.595
7.1692,0.063,-0.273
7.1800,-1.100,-0.720
7.1909,-2.684,-1.937
7.2017,-3.476,-2.998
7.2126,-4.433,-4.422
7.2235,-4.627,-4.662
7.2343,-3.063,-2.260
7.2453,-1.939,0.258
7.2562,-1.612,1.029
7.2671,-1.007,1.000
7.2781,-1.809,-0.970
7.2891,-3.549,-3.476
7.3001,-4.361,-4.637
7.3111,-4.139,-4.445
7.3221,-3.579,-3.758
7.3332,-2.924,-3.144
7.3443,-2.474,-2.936
7.3553,-2.657,-3.322
7.3664,-3.120,-3.898
7.3775,-3.460,-4.267
7.3887,-3.681,-4.428
7.3998,-3.762,-4.371
7.4110,-3.433,-3.951
7.4222,-2.802,-3.301
7.4334,-2.557,-2.994
7.4446,-3.141,-3.493
7.4558,-3.867,-4.147
7.4671,-4.592,-4.720
7.4783,-5.321,-5.246
7.4896,-5.573,-5.461
7.5009,-5.469,-5.430
7.5122,-5.261,-5.339
7.5236,-5.068,-5.277
7.5349,-4.907,-5.208
7.5463,-4.809,-5.162
7.5577,-4.664,-5.117
7.5691,-4.192,-4.855
7.5805,-3.368,-4.230
7.5920,-2.331,-3.276
7.6034,-1.186,-2.134
7.6149,-0.423,-1.283
7.6264,-0.913,-1.476
7.6379,-2.324,-2.513
7.6494,-3.718,-3.720
7.6609,-4.805,-4.803
7.6725,-5.501,-5.551
7.6841,-5.530,-5.570
7.6957,-5.140,-5.094
7.7073,-4.840,-4.776
7.7189,-4.663,-4.767
7.7306,-4.705,-5.031
7.7422,-4.950,-5.378
7.7539,-4.866,-5.173
7.7656,-3.895,-3.729
7.7773,-3.247,-2.738
7.7891,-3.174,-2.636
7.8008,-3.231,-3.027
7.8126,-3.482,-3.771
7.8244,-4.112,-4.676
7.8362,-5.009,-5.498
7.8480,-5.486,-5.234
7.8599,-5.198,-3.732
7.8717,-4.504,-2.251
7.8836,-3.630,-1.563
7.8955,-2.842,-1.670
7.9074,-2.445,-2.195
7.9193,-2.579,-2.899
7.9313,-3.054,-3.544
7.9432,-3.579,-3.910
7.9552,-3.769,-3.730
7.9672,-3.319,-3.133
7.9793,-2.502,-2.634
7.9913,-2.278,-2.853
8.0034,-3.161,-3.876
8.0154,-4.214,-4.857
8.0275,-5.014,-5.477
8.0396,-5.538,-5.630
8.0518,-5.625,-5.254
8.0639,-5.266,-4.662
8.0761,-4.672,-4.083
8.0883,-4.055,-3.418
8.1005,-3.383,-2.613
8.1127,-2.950,-2.380
8.1249,-3.287,-3.132
8.1372,-3.953,-3.979
8.1495,-4.303,-4.363
8.1618,-4.205,-4.367
8.1741,-3.892,-4.215
8.1864,-3.559,-3.982
8.1988,-3.240,-3.708
8.2111,-3.058,-3.559
8.2235,-3.301,-3.746
8.2359,-4.064,-4.335
8.2484,-4.898,-5.045
8.2608,-5.399,-5.518
8.2733,-5.331,-5.364
8.2858,-4.454,-4.298
8.2983,-3.034,-2.717
8.3108,-1.799,-1.378
8.3233,-1.151,-0.676
8.3359,-0.686,-0.417
8.3485,-0.312,-0.568
8.3611,-1.005,-1.708
8.3737,-2.781,-3.589
8.3863,-3.814,-4.517
8.3990,-3.655,-4.169
8.4116,-3.394,-3.671
8.4243,-3.580,-3.600
8.4370,-3.885,-3.829
8.4498,-4.247,-4.377
8.4625,-4.842,-5.118
8.4753,-5.321,-5.532
8.4881,-5.230,-5.137
8.5009,-4.523,-3.853
8.5137,-3.561,-2.162
8.5266,-2.499,-0.590
8.5394,-1.570,0.176
8.5523,-1.373,-0.358
8.5652,-1.954,-1.559
8.5781,-2.770,-2.619
8.5911,-3.532,-3.342
8.6041,-4.097,-3.698
8.6170,-4.260,-3.582
8.6300,-4.106,-3.344
8.6431,-4.138,-3.649
8.6561,-4.526,-4.356
8.6692,-4.988,-4.995
8.6822,-5.349,-5.412
8.6953,-5.582,-5.617
8.7085,-5.665,-5.621
8.7216,-5.571,-5.456
8.7348,-5.366,-5.242
8.7479,-5.200,-5.089
8.7611,-5.143,-5.015
8.7744,-5.190,-5.070
8.7876,-5.337,-5.318
8.8009,-5.491,-5.600
8.8141,-5.489,-5.647
8.8274,-5.274,-5.387
8.8408,-4.889,-4.842
8.8541,-4.446,-4.053
8.8675,-4.175,-3.328
8.8808,-4.229,-3.228
8.8942,-4.461,-3.808
8.9077,-4.662,-4.503
8.9211,-4.732,-4.900
8.9346,-4.586,-4.832
8.9480,-4.257,-4.314
8.9615,-4.027,-3.631
8.9751,-4.187,-3.245
8.9886,-4.676,-3.429
9.0022,-5.238,-4.140
9.0158,-5.639,-5.175
9.0294,-5.420,-5.563
9.0430,-4.422,-4.603
9.0566,-3.199,-2.868
9.0703,-2.078,-0.762
9.0840,-0.886,1.565
9.0977,0.626,3.916
9.1114,2.015,6.151
9.1252,2.218,6.303
9.1389,0.952,2.749
9.1527,-0.009,0.040
9.1665,0.749,0.429
9.1804,2.804,3.046
9.1942,4.324,6.514
9.2081,3.383,7.722
9.2220,1.402,5.603
9.2359,-0.363,2.501
9.2498,-2.326,-0.899
9.2638,-4.236,-3.789
9.2778,-5.358,-5.313
9.2918,-5.637,-5.645
9.3058,-5.325,-5.230
9.3198,-4.589,-4.352
9.3339,-3.699,-3.345
9.3480,-3.109,-2.786
9.3621,-3.023,-2.933
9.3762,-3.244,-3.355
9.3904,-3.625,-3.776
9.4045,-4.023,-4.142
9.4187,-4.126,-4.268
9.4329,-3.700,-3.939
9.4472,-2.853,-3.184
9.4614,-2.358,-2.685
9.4757,-2.850,-3.127
9.4900,-3.598,-3.885
9.5043,-4.103,-4.417
9.5187,-4.486,-4.751
9.5330,-4.874,-4.991
9.5474,-5.213,-5.160
9.5618,-5.431,-5.277
9.5762,-5.506,-5.404
9.5907,-5.454,-5.515
9.6052,-5.343,-5.489
9.6197,-5.145,-5.291
9.6342,-4.778,-4.898
9.6487,-4.243,-4.317
9.6633,-3.532,-3.472
9.6778,-2.591,-2.182
9.6924,-1.667,-0.598
9.7071,-1.478,0.194
9.7217,-2.157,-0.557
9.7364,-3.055,-1.950
9.7511,-3.798,-3.175
9.7658,-4.343,-4.050
9.7805,-4.724,-4.589
9.7953,-4.959,-4.748
9.8101,-5.065,-4.477
9.8249,-5.134,-4.142
9.8397,-5.239,-4.234
9.8545,-5.375,-4.653
9.8694,-5.513,-5.148
9.8843,-5.542,-5.558
9.8992,-5.164,-5.605
9.9142,-3.643,-4.454
9.9291,0.496,-0.439
9.9441,6.122,5.489
9.9591,7.957,8.243
9.9741,8.786,9.207
9.9892,11.564,11.301
10.0043,13.958,13.083
10.0193,11.029,10.055
10.0345,5.961,4.987
10.0496,2.712,1.741
10.0648,1.791,0.840
10.0800,2.132,1.349
10.0952,2.094,1.815
10.1104,1.203,1.625
10.1257,-0.056,0.956
10.1409,-1.251,0.018
10.1562,-2.405,-1.274
10.1716,-3.684,-2.955
10.1869,-4.885,-4.564
10.2023,-5.560,-5.476
10.2177,-5.515,-5.514
10.2331,-4.801,-4.863
10.2485,-3.585,-3.806
10.2640,-2.283,-2.748
10.2795,-1.336,-2.053
10.2950,-0.764,-1.684
10.3105,-0.353,-1.329
10.3261,-0.247,-1.217
10.3417,-0.598,-1.572
10.3573,-1.065,-1.995
10.3729,-1.121,-1.979
10.3885,-0.536,-1.362
10.4042,0.220,-0.646
10.4199,0.612,-0.314
10.4356,0.435,-0.521
10.4514,-0.185,-1.103
10.4672,-0.584,-1.342
10.4830,-0.736,-1.407
10.4988,-1.202,-1.861
10.5146,-2.115,-2.652
10.5305,-2.985,-3.147
10.5464,-3.069,-2.776
10.5623,-2.412,-1.989
10.5782,-1.638,-1.378
10.5942,-1.198,-1.113
10.6102,-1.214,-1.125
10.6262,-1.587,-1.359
10.6422,-2.382,-2.052
10.6583,-3.668,-3.344
10.6744,-4.935,-4.707
10.6905,-5.549,-5.452
10.7066,-5.459,-5.447
10.7227,-4.839,-4.786
10.7389,-3.787,-3.512
10.7551,-2.477,-1.823
10.7714,-1.224,-0.201
10.7876,-0.271,0.903
10.8039,0.383,1.395
10.8202,0.862,1.413
10.8365,1.119,1.039
10.8529,0.884,0.269
10.8692,0.099,-0.756
10.8856,-0.621,-1.472
10.9021,-0.487,-1.089
10.9185,0.623,0.506
10.9350,2.079,2.385
10.9515,2.838,3.350
10.9680,2.382,3.036
10.9846,1.289,2.067
11.0011,0.283,0.931
11.0177,-0.499,-0.359
11.0344,-1.310,-1.755
11.0510,-2.258,-3.033
11.0677,-3.160,-4.036
11.0844,-3.884,-4.752
11.1011,-4.442,-5.222
11.1179,-4.869,-5.478
11.1346,-5.173,-5.575
11.1514,-5.362,-5.600
11.1683,-5.462,-5.622
11.1851,-5.503,-5.652
11.2020,-5.515,-5.666
11.2189,-5.517,-5.654
11.2358,-5.514,-5.619
11.2528,-5.494,-5.554
11.2698,-5.432,-5.426
11.2868,-5.292,-5.190
11.3038,-5.048,-4.834
11.3209,-4.696,-4.391
11.3379,-4.254,-3.921
11.3550,-3.757,-3.484
11.3722,-3.255,-3.119
11.3893,-2.801,-2.849
11.4065,-2.454,-2.706
11.4237,-2.273,-2.729
11.4410,-2.264,-2.900
11.4582,-2.354,-3.120
11.4755,-2.516,-3.349
11.4928,-2.816,-3.643
11.5102,-3.136,-3.859
11.5276,-3.021,-3.569
11.5449,-2.191,-2.671
11.5624,-0.994,-1.591
11.5798,0.019,-0.745
11.5973,0.589,-0.276
11.6148,0.887,0.001
11.6323,1.409,0.545
11.6499,2.501,1.630
11.6674,3.792,2.849
11.6850,4.209,3.232
11.7027,3.033,2.066
11.7203,0.937,-0.034
11.7380,-0.825,-1.657
11.7557,-1.676,-2.255
11.7735,-1.793,-2.199
11.7912,-1.663,-2.004
11.8090,-1.688,-1.928
11.8268,-1.961,-1.902
11.8447,-2.369,-1.833
11.8626,-2.908,-2.010
11.8805,-3.671,-2.736
11.8984,-4.569,-3.829
11.9163,-5.306,-4.832
11.9343,-5.629,-5.414
11.9523,-5.446,-5.457
11.9704,-4.723,-4.901
11.9884,-3.363,-3.635
12.0065,-1.270,-1.560
12.0246,1.420,1.170
12.0428,4.186,3.968
12.0609,6.561,6.239
12.0791,8.732,8.081
12.0974,10.895,9.922
12.1156,11.860,11.344
12.1339,10.069,10.800
12.1522,6.739,7.974
12.1706,4.070,4.883
12.1889,3.062,3.294
12.2073,4.012,3.822
12.2257,6.321,5.806
12.2442,7.485,6.652
12.2627,5.995,5.019
12.2812,3.541,2.642
12.2997,1.454,0.693
12.3182,-0.072,-0.774
12.3368,-1.197,-1.952
12.3554,-2.069,-2.895
12.3741,-2.742,-3.598
12.3928,-3.260,-4.107
12.4115,-3.693,-4.500
12.4302,-4.111,-4.826
12.4489,-4.528,-5.067
12.4677,-4.883,-5.167
12.4865,-5.114,-5.148
12.5054,-5.226,-5.107
12.5243,-5.265,-5.131
12.5432,-5.279,-5.245
12.5621,-5.290,-5.398
12.5810,-5.280,-5.503
12.6000,-5.208,-5.495
12.6190,-5.044,-5.362
12.6381,-4.797,-5.138
12.6571,-4.516,-4.883
12.6762,-4.256,-4.664
12.6954,-4.046,-4.520
12.7145,-3.891,-4.461
12.7337,-3.790,-4.469
12.7529,-3.746,-4.520
12.7722,-3.756,-4.596
12.7914,-3.821,-4.693
12.8107,-3.943,-4.812
12.8301,-4.114,-4.943
12.8494,-4.312,-5.059
12.8688,-4.514,-5.137
12.8882,-4.702,-5.181
12.9077,-4.872,-5.224
12.9272,-5.028,-5.285
12.9467,-5.171,-5.360
12.9662,-5.291,-5.439
12.9858,-5.363,-5.518
13.0054,-5.340,-5.578
13.0250,-5.191,-5.574
13.0446,-4.943,-5.467
13.0643,-4.657,-5.268
13.0840,-4.369,-5.010
13.1038,-4.088,-4.718
13.1235,-3.822,-4.428
13.1433,-3.559,-4.158
13.1632,-3.240,-3.835
13.1830,-2.808,-3.380
13.2029,-2.229,-2.738
13.2229,-1.498,-1.874
13.2428,-0.740,-0.858
13.2628,-0.409,-0.129
13.2828,-1.048,-0.449
13.3028,-2.274,-1.712
13.3229,-3.238,-2.901
13.3430,-3.747,-3.595
13.3632,-3.994,-3.930
13.3833,-4.148,-4.080
13.4035,-4.263,-4.110
13.4237,-4.351,-4.039
13.4440,-4.428,-3.900
13.4643,-4.510,-3.758
13.4846,-4.593,-3.681
13.5049,-4.654,-3.704
13.5253,-4.670,-3.821
13.5457,-4.635,-3.996
13.5662,-4.565,-4.196
13.5866,-4.493,-4.406
13.6071,-4.436,-4.607
13.6277,-4.385,-4.768
13.6482,-4.317,-4.855
13.6688,-4.216,-4.853
13.6894,-4.082,-4.778
13.7101,-3.920,-4.658
13.7308,-3.731,-4.519
13.7515,-3.527,-4.379
13.7723,-3.349,-4.262
13.7930,-3.280,-4.225
13.8139,-3.388,-4.331
13.8347,-3.635,-4.543
13.8556,-3.888,-4.751
13.8765,-4.013,-4.869
13.8974,-3.928,-4.815
13.9184,-3.605,-4.523
13.9394,-3.068,-3.984
13.9604,-2.369,-3.225
13.9815,-1.578,-2.238
14.0026,-0.812,-0.994
14.0237,-0.262,0.464
14.0449,-0.063,1.929
14.0661,-0.121,3.104
14.0873,-0.221,3.891
14.1085,-0.268,4.394
14.1298,-0.369,4.538
14.1512,-0.765,3.890
14.1725,-1.589,2.183
14.1939,-2.663,-0.065
14.2153,-3.672,-2.081
14.2368,-4.446,-3.540
14.2582,-4.969,-4.465
14.2798,-5.287,-4.960
14.3013,-5.445,-5.118
14.3229,-5.486,-5.021
14.3445,-5.445,-4.750
14.3661,-5.342,-4.383
14.3878,-5.202,-4.006
14.4095,-5.066,-3.737
14.4313,-4.995,-3.702
14.4530,-5.023,-3.922
14.4748,-5.126,-4.285
14.4967,-5.255,-4.655
14.5186,-5.372,-4.958
14.5405,-5.455,-5.168
14.5624,-5.491,-5.283
14.5844,-5.463,-5.302
14.6064,-5.347,-5.206
14.6284,-5.121,-4.968
14.6505,-4.787,-4.574
14.6726,-4.412,-4.087
14.6947,-4.133,-3.678
14.7169,-4.046,-3.508
14.7391,-4.129,-3.586
14.7614,-4.297,-3.800
14.7836,-4.500,-4.043
14.8059,-4.732,-4.275
14.8283,-4.991,-4.509
14.8507,-5.238,-4.764
14.8731,-5.414,-5.025
14.8955,-5.458,-5.239
14.9180,-5.310,-5.324
14.9405,-4.929,-5.186
14.9630,-4.346,-4.793
14.9856,-3.689,-4.248
15.0082,-3.099,-3.710
15.0309,-2.607,-3.253
15.0536,-2.158,-2.839
15.0763,-1.743,-2.433
15.0990,-1.468,-2.090
15.1218,-1.459,-1.899
15.1446,-1.713,-1.864
15.1675,-2.127,-1.940
15.1904,-2.608,-2.102
15.2133,-3.098,-2.370
15.2362,-3.549,-2.779
15.2592,-3.911,-3.302
15.2823,-4.147,-3.812
15.3053,-4.269,-4.191
15.3284,-4.320,-4.422
15.3515,-4.343,-4.555
15.3747,-4.366,-4.637
15.3979,-4.400,-4.690
15.4211,-4.446,-4.719
15.4444,-4.504,-4.728
15.4677,-4.584,-4.730
15.4910,-4.701,-4.749
15.5144,-4.870,-4.811
15.5378,-5.084,-4.936
15.5613,-5.299,-5.111
15.5848,-5.435,-5.271
15.6083,-5.387,-5.294
15.6318,-5.030,-5.006
15.6554,-4.253,-4.226
15.6790,-3.146,-2.969
15.7027,-2.146,-1.679
15.7264,-1.650,-0.892
15.7501,-1.590,-0.681
15.7739,-1.700,-0.808
15.7977,-1.812,-1.078
15.8215,-1.903,-1.431
15.8454,-2.051,-1.887
15.8693,-2.355,-2.456
15.8932,-2.806,-3.079
15.9172,-3.304,-3.666
15.9412,-3.760,-4.170
15.9653,-4.130,-4.577
15.9894,-4.390,-4.874
16.0135,-4.515,-5.035
16.0377,-4.506,-5.045
16.0619,-4.407,-4.940
16.0861,-4.285,-4.790
16.1104,-4.189,-4.651
16.1347,-4.136,-4.543
16.1590,-4.125,-4.468
16.1834,-4.153,-4.420
16.2078,-4.215,-4.396
16.2323,-4.303,-4.397
16.2568,-4.404,-4.422
16.2813,-4.513,-4.472
16.3059,-4.630,-4.548
16.3305,-4.764,-4.648
16.3551,-4.923,-4.770
16.3798,-5.106,-4.903
16.4045,-5.294,-5.024
16.4293,-5.459,-5.110
16.4541,-5.575,-5.146
16.4789,-5.633,-5.142
16.5038,-5.638,-5.117
16.5287,-5.607,-5.099
16.5536,-5.552,-5.107
16.5786,-5.487,-5.150
16.6036,-5.420,-5.219
16.6286,-5.357,-5.294
16.6537,-5.301,-5.354
16.6789,-5.253,-5.393
16.7040,-5.216,-5.414
16.7292,-5.195,-5.428
16.7545,-5.196,-5.448
16.7798,-5.225,-5.482
16.8051,-5.280,-5.530
16.8304,-5.354,-5.584
16.8558,-5.436,-5.632
16.8813,-5.513,-5.661
16.9067,-5.574,-5.662
16.9323,-5.608,-5.630
16.9578,-5.605,-5.565
16.9834,-5.562,-5.473
17.0090,-5.481,-5.367
17.0347,-5.375,-5.257
17.0604,-5.260,-5.157
17.0861,-5.156,-5.076
17.1119,-5.079,-5.027
17.1377,-5.038,-5.015
17.1636,-5.032,-5.037
17.1895,-5.044,-5.077
17.2154,-5.054,-5.112
17.2414,-5.050,-5.126
17.2674,-5.031,-5.117
17.2935,-4.995,-5.083
17.3196,-4.915,-5.004
17.3457,-4.723,-4.823
17.3719,-4.327,-4.466
17.3981,-3.675,-3.885
17.4243,-2.808,-3.113
17.4506,-1.846,-2.249
17.4770,-0.910,-1.401
17.5033,-0.082,-0.646
17.5297,0.606,-0.011
17.5562,1.173,0.517
17.5827,1.683,1.003
17.6092,2.235,1.542
17.6358,2.925,2.225
17.6624,3.780,3.077
17.6890,4.703,4.001
17.7157,5.451,4.756
17.7425,5.682,5.007
17.7692,5.114,4.475
17.7960,3.763,3.173
17.8229,2.015,1.476
17.8498,0.369,-0.140
17.8767,-0.882,-1.389
17.9037,-1.703,-2.235
17.9307,-2.205,-2.775
17.9578,-2.525,-3.132
17.9849,-2.772,-3.398
18.0120,-3.003,-3.616
18.0392,-3.231,-3.780
18.0664,-3.436,-3.853
18.0937,-3.599,-3.813
18.1210,-3.723,-3.685
18.1483,-3.836,-3.536
18.1757,-3.961,-3.436
18.2031,-4.095,-3.416
18.2306,-4.209,-3.465
18.2581,-4.267,-3.552
18.2856,-4.253,-3.641
18.3132,-4.169,-3.700
18.3409,-4.016,-3.690
18.3685,-3.775,-3.554
18.3963,-3.399,-3.208
18.4240,-2.833,-2.557
18.4518,-2.043,-1.530
18.4797,-1.060,-0.131
18.5075,0.007,1.518
18.5355,1.018,3.203
18.5634,1.855,4.704
18.5914,2.454,5.879
18.6195,2.803,6.708
18.6476,2.958,7.264
18.6757,3.051,7.635
18.7039,3.215,7.807
18.7321,3.448,7.692
18.7604,3.632,7.238
18.7887,3.644,6.454
18.8171,3.397,5.364
18.8455,2.837,4.016
18.8739,1.973,2.513
18.9024,0.932,1.050
18.9309,-0.040,-0.114
18.9595,-0.692,-0.753
18.9881,-0.924,-0.811
19.0167,-0.813,-0.422
19.0454,-0.524,0.183
19.0741,-0.237,0.772
19.1029,-0.121,1.150
