BJD RV e_RV BERV rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv11 e_rv11 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv15 e_rv15 rv16 e_rv16 filename
2460696.6456115656 -3041.420008744609 1033.6955209737828 -7.0825513861967835 -7372.552765868624 425.9422007694568 2536.398432339392 175.63254281889627 -6771.087161459107 248.940109124586 -6718.938700685352 233.19437320579755 -846.9890873050798 960.4728955562782 -3330.641857210149 464.3130046586095 -35.13257921613191 480.1296888908778 -4120.895651286539 456.49429741902327 -1152.9799921746567 487.3641712415342 -2601.3807245798453 284.2715496461952 ADP.2025-05-25T09-47-12.250.fits
2460312.5616805987 -1606.059513587468 583.2537968071744 -1.9746036283822095 -2984.3092718891417 332.0171553486529 -743.0257774111126 267.50643703042726 -2595.3507656114566 203.33305681968375 -2923.7696382107374 213.02637424396184 3192.1655054047687 1066.6608001256634 -2433.2261772880765 411.2355269481339 -1057.9676098368482 427.9451976347852 -2295.716741098461 455.94086559344197 -1744.532637543562 466.3365613470594 -2474.862022390052 314.9213590149848 ADP.2025-05-26T11-11-51.393.fits
2460318.7712704595 -2359.484222276929 675.0048074740445 -4.076756113937941 -5056.17476666416 410.0135496657782 11.629518145649019 176.4683611611306 -4216.04893097107 197.31554840069822 -4895.535847412787 219.72033686360467 975.1218790293995 1119.473580480942 -3125.5423649039813 382.0239926144013 -201.32768349161617 458.21521433526107 -3132.281962600596 363.08679016894024 -1277.0704674133028 357.52291985366566 -2677.6115964868272 297.40100117699455 ADP.2025-05-26T11-38-41.197.fits
2460320.6801158413 -2488.88946849037 845.6119822688016 -4.41528743508785 -5605.408636337937 384.2077909591397 1023.4709629041395 226.07090531012065 -5315.630184978346 211.81074218422194 -5563.147738772855 200.33036082130835 1715.049337425776 762.373094665749 -3217.2252712304658 439.3075687269001 -211.60539681342675 395.77935213436683 -3407.5669564010996 426.6833980453172 -1702.9598533113567 367.4424392771618 -2603.8709473881277 302.5841585140778 ADP.2025-05-26T11-39-33.677.fits
2460328.5502090706 -3468.4543997999367 772.4972567361264 -6.187694692262729 -6571.320020767632 352.17598620959313 -1551.6884215287785 166.16806729128513 -6585.138976573055 228.1205101045393 -6028.9075290879455 222.90708640325505 -1135.8983069496726 957.3322251125892 -3726.705767841753 388.5817434766788 -349.1975075312471 486.1801637411452 -5083.736527241481 406.75342731451104 -1157.2507437899887 326.31798921602103 -2494.700196687813 266.6183456262923 ADP.2025-05-26T11-52-33.101.fits
2460339.6560602556 -3579.375633082219 828.1571162359995 -9.058472533943322 -8060.478002597493 561.9418818423541 -3284.4083334099196 248.97605426804142 -856.482155281539 234.0889099440712 -8075.4755768544655 314.84557476781015 -2066.018842291913 1338.3281089828686 -3764.31985041131 635.9971021530856 -1048.1096507243847 648.6257333138274 -4399.978770537915 656.5779845951174 -1758.338255350651 572.1334967319492 -2480.146893362597 391.4391658151704 ADP.2025-05-26T11-57-49.667.fits
2460647.8354338035 987.7346249063103 944.9830864576711 5.591534097134687 755.5247242705418 321.8135793490186 6499.716943632895 370.6012564060441 4034.3578334319254 219.62157550932912 2117.4612565841726 226.2527098447163 3048.4994168177373 1652.297267726544 -924.8495580863521 338.1007346027231 -2261.820975282318 419.604572686475 1097.685541501155 397.9713898527531 -2281.461347375773 536.748665976081 -2207.7675864308826 345.71906621413586 ADP.2025-05-26T12-01-48.920.fits
2460666.7973373244 -675.7304010248703 593.9204244515449 0.594891900413732 -2062.718297998067 423.35710670587184 2347.3925932067227 144.7218589059051 -21.966505790673644 184.76813165216632 -889.7531026716576 175.84653128178164 2824.2009485043045 910.4231135790989 -2200.2438106648046 314.576226547271 -1242.336368569905 416.8728039139241 -1008.2105640837409 358.6288807707632 -1907.554464750242 654.4436558184483 -2596.11443743064 388.53853669254215 ADP.2025-05-26T12-57-59.383.fits
2460674.742469253 -1354.5706080338282 680.8295902724584 -1.4985627390421479 -3335.1445235890506 381.1654931857314 3254.1779116194343 475.51663327059106 -2041.3378364063437 198.4315261729822 -2799.24642904103 193.41771866609142 1789.2983400022881 789.800008356571 -2771.690079113706 386.6123090936986 -1399.0123239710479 320.0441117719901 -1576.969724813812 343.8939368723814 -2070.3702722029816 720.1620379575554 -2595.4111428220317 401.0997609982461 ADP.2025-05-26T13-01-55.721.fits
2460624.8335913285 285.1782728058152 1193.1491129549656 10.805474841689756 -2899.025403301372 264.3032191320568 4227.601796983525 141.9438205525264 7791.554786081419 285.35809718287436 -974.0812857546593 175.0154067885242 1134.1304999311992 1495.0657448135653 -2496.9979713395483 273.37318879098393 -3053.7757724100766 464.82260111612516 3669.763750108704 425.42988205387616 -1855.2187586542875 486.19261506634433 -2692.1689135867514 483.37502541253554 ADP.2025-05-26T13-07-19.921.fits
2460600.758799942 -3156.7947441535557 694.090425098767 14.480797390115638 -4610.8117471662135 276.11082723755584 -754.2984243282373 166.256810698778 -8569.900124383625 206.25599006519528 -2464.449012241811 175.92368561169317 -2712.600071261702 1415.6848162229303 -3090.0145686582414 266.1269871741711 -2895.8250713588777 414.489430519708 -1128.7427754912474 288.7752502230119 -2024.2033797897925 409.89041362049215 -3317.102266855809 380.1978654842047 ADP.2025-05-26T18-53-24.077.fits
2460604.821429683 -4565.398631349843 1903.747598975088 13.940965198959772 -1495.7436274209642 1374.1166966174242 13453.53814598729 inf 4120.351267496889 1086.7528301461784 -6199.212284942396 821.4070075296125 -15230.922641850573 7314.967198635376 -5351.437811059284 2565.261574059464 -2130.608346971055 2588.8275976933237 255.02090076716632 2406.1275696434336 -10010.138026953628 2577.491867445597 -5045.897111214741 4021.3297279627377 ADP.2025-05-26T18-55-27.903.fits
2460280.813205721 1197.7881778131978 1265.3888510122172 6.081764322017715 1101.6388081967093 312.7630099239317 613.3366214214923 146.55749168677178 4322.250814725714 197.69863007466762 2273.4965646090386 234.22511931191318 10214.785135131555 932.2537569524478 -1148.0352897846751 352.20591011976165 -2966.8866008134387 444.7236374041999 2475.0020063669967 424.0499456120202 -2892.4187987261253 680.532177009905 -2015.287482995288 440.25333277811364 ADP.2025-06-02T10-25-23.597.fits
2460285.8067494896 758.1959829704396 642.0899400180829 4.817580341479841 578.8943704308753 370.20399475255647 1527.2735986761136 143.00036360268726 3109.7654521503473 206.09640356584725 1702.7471107442946 214.61271037043048 2425.0066308692403 1489.944568669048 -1155.1940374640756 349.40477872093726 3258.2891645490085 380.87062588930615 499.13343971374053 419.24382118272575 -2263.6021245488314 803.7293961474631 -2100.3537754163167 465.8693714029595 ADP.2025-06-02T10-30-12.184.fits
2460300.7913322095 -683.7234926613415 549.6170657032606 0.7988514519221037 -1545.463551291492 413.5817287677827 2035.0445460517567 264.0040887845707 33.91386769723543 196.10557384181584 -928.2321885259319 253.6224714150444 2451.619532768699 1101.4688769590912 -2298.6265883654737 356.4920479059957 -1368.7275251117035 406.5621098727304 -1493.6443154875542 402.99882236313147 -827.1671493486831 553.5070686799208 -2895.951555000268 431.1846104907192 ADP.2025-06-02T10-54-35.167.fits
2460230.868964207 -1631.3826420048008 601.5896201376754 14.681084475255602 -4793.705384975602 294.3961465912156 -828.2509728075693 249.10825483095994 333.2105253519239 220.05280975816515 -988.7426754198807 189.12015862655977 648.5205109253579 1660.4442963457564 -2911.807277277741 296.8747104783357 -2680.987786460635 485.9694176187824 707.6667753465296 314.1914439863902 -2183.7560497639683 706.2383606165326 -3615.974084966422 723.7511398740324 ADP.2025-06-02T12-44-40.787.fits
2460370.536457152 -1528.8184112428412 750.7390703370302 -14.111075244340437 -4852.195492162985 290.0212443735186 2473.3482605568197 185.49856563315146 1542.8427434898135 221.65628918188838 -2430.9842508901525 269.76251424133045 -4181.660810760362 1267.7872871323943 -2763.218596832684 369.1777288911386 -1577.4243791032648 448.95110846912274 352.58485883735574 336.2651163912476 -1220.3316662658594 422.7843173719382 -2631.1447792970944 281.25354607700723 ADP.2025-11-25T12-35-27.047.fits
2460388.6269674073 -2524.4446862529226 953.1968724380773 -15.517500694458294 -4548.795952884643 244.79825376234908 828.4765621949847 137.17772231691674 -99.18924411526372 188.7407422572537 -1996.5895175494334 174.67909940244854 -9743.325100115288 1069.9845775974404 -3320.4936433377234 239.2923729724019 -2135.653199618213 336.71462439364115 -106.87745716637002 272.3686956306321 -1319.133795946551 274.5470805600073 -2802.865513990725 225.59369478585327 ADP.2025-11-25T12-42-27.268.fits
