BJD RV e_RV BERV rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv11 e_rv11 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv15 e_rv15 rv16 e_rv16 filename
2460584.875489143 -9452.876140995591 3076.0328776463057 20.957948145175404 -832.5152416050349 293.0362355440333 2688.0212433008464 228.79982162425023 -17435.355728836596 inf -17107.792282994647 268.55570783479476 -17268.6283304953 562.3106599129202 -16105.742862796 415.94551747263625 -17065.875265513332 535.6006577172981 2199.0444259264186 2151.5233299317865 -17801.86330804528 473.1968959972985 -3780.5336467379907 619.9537384564568 ADP.2025-05-27T06-28-34.866.fits
2460584.8908521803 -11268.480510180068 2909.199680271798 20.920784675788088 -2875.997050706583 284.34061641114835 1451.4132367069697 222.99953589006338 -16137.815657273655 inf -17530.272913257297 258.7711290394165 -16810.569685401206 659.9738133210049 -16578.311558043228 414.82640676549863 -16499.960297653124 606.5267033894634 2029.7201160432437 200.0745780680751 -16295.683540396389 509.05047358521347 -18306.662898913 486.7072930128753 ADP.2025-05-27T06-28-34.869.fits
2460359.619668748 -7784.389888934327 3985.994195109037 -17.65287763592288 -17910.638576199275 inf -18847.823427169344 8.057201518499593 -15861.423438649117 528.8254688750687 -16649.88475872424 440.17952959284594 24118.354257102637 inf -16472.36820581082 14.181470388365842 -9299.598518868746 17.380864589937257 1936.4112980971715 339.14543660050447 11226.206875248976 771.8889147526035 1693.3610644014957 622.3106306643537 ADP.2025-06-02T10-15-54.683.fits
2460359.641852384 -11053.228536860215 2722.3009087051446 -17.70388502507483 -21407.349740327707 610.3151109850724 -19377.611614132533 242.89066304129165 -18523.6053658122 474.3445256233976 -16207.079944747673 435.5220471439584 -7173.581354120788 737.2983905013306 -17944.876633559892 1136.6235603715108 -5034.701226790251 417.47628770357613 3600.791312288197 331.114133785863 -5111.635243504817 609.804054146527 -3352.6355578944826 614.50448701733 ADP.2025-06-02T10-15-54.686.fits
2460359.664042039 -10962.351127970676 2550.4646368780445 -17.750393225453664 -16729.854864318968 490.5441620989105 -124.59194921705536 240.62948078407618 -18887.73232744401 408.7253406886764 -17914.79896735638 326.1363854873618 -4449.839044992613 890.1188514862095 -15205.986808517091 701.9574101751472 -17766.40940656612 550.6184559337775 949.8118634943553 274.7504051676377 -15747.012502098285 1185.334876146697 -3747.097272690603 551.8447967486882 ADP.2025-06-02T10-15-54.689.fits
2460370.5901542692 -5924.547457440001 4210.995274763576 -19.56313601493147 -4504.006840140215 207.67054543648248 -1441.7542749215936 252.74148321481454 -3870.729751150933 192.6302491058812 -17467.510586299395 597.9020403655674 25910.475910033238 769.7809383719522 -16862.404211166773 2272.6024218296548 -6852.36393327679 387.92344377499484 528.1870930657581 325.9946854969141 -17347.12866636483 475.83836468032746 -17338.239314178478 354.3215303343872 ADP.2025-11-25T12-35-27.056.fits
2460370.6123958896 -6006.082907965094 3863.9303528977925 -19.612831844655688 -5652.437637981406 211.34364989845653 -1543.4100397346556 249.38149667861302 -4021.9346762034343 191.4134401749124 -17312.423494265004 390.3859825705589 23815.859480526222 718.9587337541227 -17856.74636402756 736.217165217686 -10845.419241886671 624.7638888338547 -2769.600864903616 557.5858246923741 -6559.394375625865 368.10188458151845 -17315.321865548944 339.4359414379397 ADP.2025-11-25T12-35-27.059.fits
2460370.6346235494 -8495.96644556229 4722.239253681492 -19.657943451109265 -18634.210338669676 470.1911082906029 -1450.9149189487375 237.67168953005554 -19672.66525384914 468.852637022397 -19267.499808257697 315.4934466765521 24586.19386124629 1224.7203683049734 -16895.889046171163 722.2948637325509 -8457.551734742245 590.1772443039673 8901.187626663432 586.6959150285862 -17304.1274953573 484.9390067545848 -16764.187347536652 202.55677568549828 ADP.2025-11-25T12-35-27.062.fits
2460388.5543983965 -18554.13989896962 3969.390873605674 -21.16233593449564 -23148.090313392793 802.0391670664143 -18912.302486407356 431.92313729060055 -19324.2630194863 599.3739972095158 -18560.8351889803 528.3791847348078 -21109.365688635513 603.4068683402899 -43128.26886016679 839.2614449787287 -15276.1479302923 565.3668120962094 9236.474968224285 308.8706483322989 -18413.61490646083 489.95480020482194 -16904.985564098275 386.513369069148 ADP.2025-11-25T12-42-27.259.fits
2460388.576728088 -18092.369413780478 3553.7752913797663 -21.207017612095 -22473.089783526437 984.5824813593393 -2921.5251244543438 270.6391513088548 -21188.207070646768 552.3691610708221 -21312.759404396696 626.8570676096668 -21206.523753090172 493.5104551453695 -41347.61931791694 671.5672143480218 -15888.711521564264 523.5333957067041 -493.8691521335189 364.71642484297195 -17244.8959113121 539.6706734024109 -16846.493098763556 376.2978549903552 ADP.2025-11-25T12-42-27.262.fits
