BJD n order chunk rv e_rv norm0 e_norm0 norm1 e_norm1 norm2 e_norm2 wave0 e_wave0 wave1 e_wave1 wave2 e_wave2 ip0 e_ip0 atm0 e_atm0 atm1 e_atm1 atm2 e_atm2 atm3 e_atm3 bkg0 e_bkg0 prms
2460584.875489143 1 7 0 -11953.278327974756 287.73775979918815 6819.7498648179735 2339.4781308616493 0.5016261127012885 0.1720695118638692 0.00025416014334576193 9.676870509488712e-05 15672.3009684221 0.014567122329844329 0.04889021842631719 1.650971320281236e-05 -1.0627203822330907e-07 2.4272687964363238e-08 1.3134164881762305 0.12607574637251906 5.068780379883408 2.4146293884419006 nan 0 nan 0 0.7215164536816351 0.29506646227865274 -0.10503539455449384 0.0869562176786256 5.921980992231539
2460584.875489143 1 8 0 -1818.0966686018357 201.20359947365154 5975.458027709515 1297.2870932477003 -0.148489612570912 0.0337243988361067 -3.9889676843515754e-05 4.407251830843849e-05 15777.12423821093 0.004282405569970329 0.046986637478474896 6.481180177159576e-06 -5.688195007117399e-07 1.1805608304966322e-08 1.3702085068983578 0.10262666305828665 -0.2124116493143366 3.3542450567143747 nan 0 nan 0 0.8678639764810586 0.24480678728259203 -0.07063259713042377 0.06232886478766635 7.545196205255164
2460584.875489143 1 9 0 -19710.891969729226 207.5064652650415 3865.460263709117 314.0961855116254 -0.22157560385665728 0.02158015982934115 -0.00020543658479029068 2.5585555384095782e-05 16004.458914158515 0.0037996939771243235 0.053259504887206044 1.3297241101779314e-05 -5.249770646914373e-07 1.9563293405119674e-08 0.9957748168091253 0.09695520475021535 3.4986476955857073 2.586231709807206 nan 0 nan 0 1.528777498580843 0.1924619364518508 0.07369133879079318 0.034976123506181546 5.949034835654176
2460584.875489143 1 10 0 -19925.707940954173 201.15310735198383 3467.3858275771863 749.9422081146162 -0.3756736360884015 0.07971889785812417 0.00023267736986881915 6.03842789290637e-05 16118.914694490955 0.007880315410418365 0.050915156473598844 1.4997257626630416e-05 -5.438584147833917e-07 2.291243127966208e-08 1.9029920203256565 0.15706365807453243 15.209936397269193 6.467338139217337 101.12692451312269 32.685702250360436 nan 0 1.2812288582895535 0.39873762427878146 0.0022500136470909532 0.07688499613612604 9.616169403848355
2460584.875489143 1 11 0 -17496.98156918262 inf 545.8919677485438 inf -0.0005831754342779576 inf -4.912256239894894e-06 inf 16227.759167508846 inf 0.04829994966565001 inf -6.134660683597007e-07 inf 0.009156764121201363 inf 70.86364251598191 inf 178.85362197374542 inf nan 0 14.040401590932797 inf 1.6139625575822454 inf 9.441784957111011
2460584.875489143 1 12 0 -19982.620964744296 446.4969067218214 1016.5894826117108 64.66400570791048 0.023453835255102962 0.004402664058866897 2.7647622406206752e-05 9.157014137178104e-06 16474.903694211225 0.02475483374704851 0.054873702884778844 2.236849930554415e-05 -5.902647045494463e-07 4.903582954939844e-08 20.832224173669484 126.32305198116686 0.010247007022349902 6.212647491780014 13.647446350685248 2.7042123812969345 nan 0 8.079057617730896 1.3621516625898387 0.8289812432643706 0.07445996135984403 9.407592437440226
2460584.875489143 1 13 0 -17833.728501516824 175.7194353056809 531.4159439031151 45.99372950031563 0.015628060527457473 0.002266590486269978 3.26819624939735e-05 4.510900364166645e-06 16592.651124413605 0.00959829210957174 0.05231565081473261 8.945587352171082e-06 -7.569929790260095e-07 1.7083755638140578e-08 -0.021209578678393858 128.88620987684175 -30.093364730543286 10.147294602063848 83.65403909343958 14.745221425926996 nan 0 0.008134991287439565 10.047323454350527 1.8880263438282818 0.1922753382444068 7.3366711104193945
2460584.875489143 1 14 0 5838.647184320419 4878.36234305794 -52.883216423881414 27.340983343970084 -0.012278341677934195 0.009357914810787371 -4.929156755872115e-05 2.607089883516737e-05 16704.402932799694 0.21720683097489113 0.05005966705244644 0.00021486755000925614 3.532125358032381e-07 4.567866025372132e-07 -53.41654651653126 21412.7742275025 -0.021789606191001704 136.261177610931 0.0036496732049815187 3.786262519397877 nan 0 4991.1426101044835 7370.1375765574485 -0.9251468196743683 0.36107188300583476 169.59194848609823
2460584.875489143 1 15 0 -18860.10531305896 482.11167677703713 915.2095633185179 111.24938777316122 -0.008625743082961145 0.003569242198475127 4.331500768186926e-06 6.9202456011831336e-06 16973.51317065272 0.022284270486497903 0.056465507486680694 2.7924500987626532e-05 -8.708104117422812e-07 5.584578851868695e-08 -2.0258360371396744 0.3406628488366725 28.894736437472666 7.141832935931397 20.95647880859752 4.435289904768044 nan 0 nan 0 1.0021669518146354 0.16236283257711556 8.142002284848845
2460584.875489143 1 16 0 -18361.306375986558 486.93749624619994 1392.1248946605056 379.3709504632618 0.007267922738603166 0.005823921959449297 -3.282972000613432e-05 1.4546571876931133e-05 17094.607126246618 0.026299493854235287 0.05373235413441494 2.6836204641624852e-05 -7.415722027244347e-07 4.970311840165408e-08 8568.598118314794 7428978137.6547785 4.308879612458718 1.7047826400419401 7.601828706708754 2.6090713059462733 nan 0 nan 0 0.48542217193375325 0.2210133709121036 7.795016260859229
